AssessmentId,AssessmentName,AssessmentSubject,AssessmentGrade,AssessmentType,AssessmentSubtype,AssessmentLabel,AssessmentVersion,AcademicYear,FullItemKey,BankKey,ItemId,Filename,Version,ItemType,Grade,Standard,Claim,Target,PassageId,ASL,Braille,LanguageBraille,DOK,Language,AllowCalculator,MathematicalPractice,MaxPoints,Glossary,ScoringEngine,Spanish,IsFieldTest,IsActive,ResponseRequired,AdminRequired,ItemPosition,MeasurementModel,Weight,ScorePoints,a,b0_b,b1_c,b2,b3,avg_b,bpref1,bpref2,bpref3,bpref4,bpref5,bpref6,bpref7,CommonCore,ClaimContentTarget,SecondaryCommonCore,SecondaryClaimContentTarget,CutPoint1,ScaledLow1,ScaledHigh1,CutPoint2,ScaledLow2,ScaledHigh2,CutPoint3,ScaledLow3,ScaledHigh3,CutPoint4,ScaledLow4,ScaledHigh4
(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11-Winter-2014-2015,SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11,ELA,11,interim,IAB,ELA IAB G11 BriefWrites,6579,2015,200-33218,200,33218,item-200-33218.xml,6580,SA,11,SBAC-ELA-v1:2-W|3-11,"2-W	","3-11	",,,,ENU-Braille,3,ENU,,,2,,HandScored,,FALSE,TRUE,TRUE,TRUE,2,IRTGPC,1,2,0.62844,-0.38994,2.66386,,,1.13696,(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11-Winter-2014-2015,,SBAC-2-W|3-11,,,,,"11-12.W.2f	",2-W|3-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11-Winter-2014-2015,SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11,ELA,11,interim,IAB,ELA IAB G11 BriefWrites,6579,2015,200-33230,200,33230,item-200-33230.xml,6580,SA,11,SBAC-ELA-v1:2-W|6-11,"2-W	","6-11	",,,,ENU-Braille,3,ENU,,,2,,HandScored,,FALSE,TRUE,TRUE,TRUE,4,IRTGPC,1,2,0.45025,-0.11611,4.53729,,,2.21059,(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11-Winter-2014-2015,,SBAC-2-W|6-11,,,,,,2-W|6-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11-Winter-2014-2015,SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11,ELA,11,interim,IAB,ELA IAB G11 BriefWrites,6579,2015,200-34008,200,34008,item-200-34008.xml,6580,SA,11,SBAC-ELA-v1:2-W|6-11,"2-W	","6-11	",,,,ENU-Braille,3,ENU,,,2,,HandScored,,FALSE,TRUE,TRUE,TRUE,6,IRTGPC,1,2,0.46519,1.38903,4.10661,,,2.74782,(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11-Winter-2014-2015,,SBAC-2-W|6-11,,,,,,2-W|6-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11-Winter-2014-2015,SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11,ELA,11,interim,IAB,ELA IAB G11 BriefWrites,6579,2015,200-58197,200,58197,item-200-58197.xml,6580,SA,11,SBAC-ELA-v1:2-W|1-11,"2-W	","1-11	",,,,ENU-Braille,3,ENU,,,2,,HandScored,N,FALSE,TRUE,TRUE,TRUE,1,IRTGPC,1,2,0.55434,0.93104,0.43826,,,0.68465,(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11-Winter-2014-2015,,SBAC-2-W|1-11,,,,,,2-W|1-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11-Winter-2014-2015,SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11,ELA,11,interim,IAB,ELA IAB G11 BriefWrites,6579,2015,200-58558,200,58558,item-200-58558.xml,6580,SA,11,SBAC-ELA-v1:2-W|3-11,"2-W	","3-11	",,,,ENU-Braille,3,ENU,,,2,,HandScored,N,FALSE,TRUE,TRUE,TRUE,5,IRTGPC,1,2,0.50679,0.15445,3.27803,,,1.71624,(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11-Winter-2014-2015,,SBAC-2-W|3-11,,,,,,2-W|3-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11-Winter-2014-2015,SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11,ELA,11,interim,IAB,ELA IAB G11 BriefWrites,6579,2015,200-59189,200,59189,item-200-59189.xml,6580,SA,11,SBAC-ELA-v1:2-W|1-11,"2-W	","1-11	",,,,ENU-Braille,3,ENU,,,2,,HandScored,N,FALSE,TRUE,TRUE,TRUE,3,IRTGPC,1,2,0.51807,0.66337,3.26407,,,1.96372,(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-ELA-11-Winter-2014-2015,,SBAC-2-W|1-11,,,,,,2-W|1-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-IAB-FIXED-G11E-EditRevise-ELA-11-Winter-2014-2015,SBAC-IAB-FIXED-G11E-EditRevise-ELA-11,ELA,11,interim,IAB,ELA IAB G11 EditRevise,6579,2015,200-21821,200,21821,item-200-21821.xml,6580,MC,11,SBAC-ELA-v1:2-W|9-11,"2-W	","9-11	",,,,ENU-Braille,1,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,4,IRT3PLn,1,1,0.33493,-0.44963,0,,,-0.44963,(SBAC)SBAC-IAB-FIXED-G11E-EditRevise-ELA-11-Winter-2014-2015,,SBAC-2-W|9-11,,,,,"11-12.L.2b	",2-W|9-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-IAB-FIXED-G11E-EditRevise-ELA-11-Winter-2014-2015,SBAC-IAB-FIXED-G11E-EditRevise-ELA-11,ELA,11,interim,IAB,ELA IAB G11 EditRevise,6579,2015,200-21825,200,21825,item-200-21825.xml,6580,MC,11,SBAC-ELA-v1:2-W|9-11,"2-W	","9-11	",,,,ENU-Braille,1,ENU,,,1,,Automatic with key,,FALSE,TRUE,TRUE,TRUE,7,IRT3PLn,1,1,0.39557,0.24302,0,,,0.24302,(SBAC)SBAC-IAB-FIXED-G11E-EditRevise-ELA-11-Winter-2014-2015,,SBAC-2-W|9-11,,,,,"11-12.L.2a	",2-W|9-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-IAB-FIXED-G11E-EditRevise-ELA-11-Winter-2014-2015,SBAC-IAB-FIXED-G11E-EditRevise-ELA-11,ELA,11,interim,IAB,ELA IAB G11 EditRevise,6579,2015,200-30524,200,30524,item-200-30524.xml,6580,HTQ,11,SBAC-ELA-v1:2-W|9-11,"2-W	","9-11	",,,,ENU-Braille,1,ENU,,,1,,Automatic with Machine Rubric,,FALSE,TRUE,TRUE,TRUE,6,IRT3PLn,1,1,0.64282,0.21756,0,,,0.21756,(SBAC)SBAC-IAB-FIXED-G11E-EditRevise-ELA-11-Winter-2014-2015,,SBAC-2-W|9-11,,,,,"11-12.L.2b	",2-W|9-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-IAB-FIXED-G11E-EditRevise-ELA-11-Winter-2014-2015,SBAC-IAB-FIXED-G11E-EditRevise-ELA-11,ELA,11,interim,IAB,ELA IAB G11 EditRevise,6579,2015,200-30836,200,30836,item-200-30836.xml,6580,HTQ,11,SBAC-ELA-v1:2-W|9-11,"2-W	","9-11	",,,,ENU-Braille,1,ENU,,,1,,Automatic with Machine Rubric,,FALSE,TRUE,TRUE,TRUE,8,IRT3PLn,1,1,0.36014,2.18863,0,,,2.18863,(SBAC)SBAC-IAB-FIXED-G11E-EditRevise-ELA-11-Winter-2014-2015,,SBAC-2-W|9-11,,,,,"11-12.L.1a	",2-W|9-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
