AssessmentId,AssessmentName,AssessmentSubject,AssessmentGrade,AssessmentType,AssessmentSubtype,AssessmentLabel,AssessmentVersion,AcademicYear,FullItemKey,BankKey,ItemId,Filename,Version,ItemType,Grade,Standard,Claim,Target,PassageId,ASL,Braille,LanguageBraille,DOK,Language,AllowCalculator,MathematicalPractice,MaxPoints,Glossary,ScoringEngine,Spanish,IsFieldTest,IsActive,ResponseRequired,AdminRequired,ItemPosition,MeasurementModel,Weight,ScorePoints,a,b0_b,b1_c,b2,b3,avg_b,bpref1,bpref2,bpref3,bpref4,bpref5,bpref6,bpref7,CommonCore,ClaimContentTarget,SecondaryCommonCore,SecondaryClaimContentTarget,CutPoint1,ScaledLow1,ScaledHigh1,CutPoint2,ScaledLow2,ScaledHigh2,CutPoint3,ScaledLow3,ScaledHigh3,CutPoint4,ScaledLow4,ScaledHigh4
(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Winter-2014-2015,SBAC-IAB-FIXED-G11M-AlgLinearFun,MATH,11,interim,IAB,MTH IAB G11 AlgebraAndLinearFunctions,8016,2015,200-11984,200,11984,item-200-11984.xml,7992,EQ,11,SBAC-MA-v6:1|P|TS03|G,1,G,,Y,BRF,ENU-Braille,2,ENU,Yes,None,1,Arabic;Cantonese;Korean;Mandarin;Punjabi;Russian;Spanish;Tagal/Tagalog;Vietnamese,Automatic with Machine Rubric,Y,FALSE,TRUE,TRUE,TRUE,13,IRT3PLn,1,1,0.74903,1.83847,0,,,1.83847,(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Calc-MATH-11-Winter-2014-2015,,SBAC-1|P,,SBAC-1|P|TS03|G,,,"A-CED.1	",1|A-CED|G,,,1,2.28E+03,2.54E+03,2,2.54E+03,2.63E+03,3,2.63E+03,2.72E+03,4,2.72E+03,2.86E+03
(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Winter-2014-2015,SBAC-IAB-FIXED-G11M-AlgLinearFun,MATH,11,interim,IAB,MTH IAB G11 AlgebraAndLinearFunctions,8016,2015,200-11990,200,11990,item-200-11990.xml,7992,EQ,11,SBAC-MA-v6:2|A|NA|A,2,A,,Y,BRF,ENU-Braille,2,ENU,Yes,None,2,Arabic;Cantonese;Korean;Mandarin;Punjabi;Russian;Spanish;Tagal/Tagalog;Vietnamese,Automatic with Machine Rubric,Y,FALSE,TRUE,TRUE,TRUE,10,IRTGPC,1,2,0.41593,3.39733,1.48479,,,2.44106,(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Calc-MATH-11-Winter-2014-2015,,SBAC-2|A,,SBAC-2|A|NA|A,,,,2|A-CED|A,"A-CED.1	",1|A-CED|G,1,2.28E+03,2.54E+03,2,2.54E+03,2.63E+03,3,2.63E+03,2.72E+03,4,2.72E+03,2.86E+03
(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Winter-2014-2015,SBAC-IAB-FIXED-G11M-AlgLinearFun,MATH,11,interim,IAB,MTH IAB G11 AlgebraAndLinearFunctions,8016,2015,200-12164,200,12164,item-200-12164.xml,7992,MC,11,SBAC-MA-v6:1|P|TS03|I,1,I,,Y,BRF,ENU-Braille,2,ENU,No,None,1,Arabic;Cantonese;Korean;Mandarin;Punjabi;Russian;Spanish;Tagal/Tagalog;Vietnamese,Automatic with Key,Y,FALSE,TRUE,TRUE,TRUE,1,IRT3PLn,1,1,0.25633,1.23069,0,,,1.23069,(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-NoCalc-MATH-11-Winter-2014-2015,,SBAC-1|P,,SBAC-1|P|TS03|I,,,"A-REI.3	",1|A-REI|I,,,1,2.28E+03,2.54E+03,2,2.54E+03,2.63E+03,3,2.63E+03,2.72E+03,4,2.72E+03,2.86E+03
(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Winter-2014-2015,SBAC-IAB-FIXED-G11M-AlgLinearFun,MATH,11,interim,IAB,MTH IAB G11 AlgebraAndLinearFunctions,8016,2015,200-19513,200,19513,item-200-19513.xml,7992,MI,11,SBAC-MA-v6:1|P|TS06|L,1,L,,Y,PRN,ENU-Braille,1,ENU,Yes,,1,Arabic;Cantonese;Korean;Mandarin;Punjabi;Russian;Spanish;Tagal/Tagalog;Vietnamese,Automatic with Machine Rubric,Y,FALSE,TRUE,TRUE,TRUE,14,IRT3PLn,1,1,0.58904,0.99459,0,,,0.99459,(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Calc-MATH-11-Winter-2014-2015,,SBAC-1|P,,SBAC-1|P|TS06|L,,,"F-IF.4	",1|F-IF|L,,,1,2.28E+03,2.54E+03,2,2.54E+03,2.63E+03,3,2.63E+03,2.72E+03,4,2.72E+03,2.86E+03
(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Winter-2014-2015,SBAC-IAB-FIXED-G11M-AlgLinearFun,MATH,11,interim,IAB,MTH IAB G11 AlgebraAndLinearFunctions,8016,2015,200-20635,200,20635,item-200-20635.xml,7992,EQ,11,SBAC-MA-v6:4|A|NA|D,4,D,,Y,BRF,ENU-Braille,3,ENU,Yes,1,1,,Automatic with Machine Rubric,Y,FALSE,TRUE,TRUE,TRUE,9,IRT3PLn,1,1,1.04385,2.47006,0,,,2.47006,(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Calc-MATH-11-Winter-2014-2015,,SBAC-4|A,,SBAC-4|A|NA|D,,,,4|A-REI|D,"A-REI.6	",1|A-REI|X;4|A-REI|F;2|A-REI|A;4|A-REI|A,1,2.28E+03,2.54E+03,2,2.54E+03,2.63E+03,3,2.63E+03,2.72E+03,4,2.72E+03,2.86E+03
(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Winter-2014-2015,SBAC-IAB-FIXED-G11M-AlgLinearFun,MATH,11,interim,IAB,MTH IAB G11 AlgebraAndLinearFunctions,8016,2015,200-20702,200,20702,item-200-20702.xml,7992,EQ,11,SBAC-MA-v6:2|A|NA|A,2,A,,Y,BRF,ENU-Braille,2,ENU,Yes,,2,,Automatic with Machine Rubric,Y,FALSE,TRUE,TRUE,TRUE,15,IRTGPC,1,2,0.46796,2.65325,1.83613,,,2.24469,(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Calc-MATH-11-Winter-2014-2015,,SBAC-2|A,,SBAC-2|A|NA|A,,,,2|A-CED|A,"A-CED.1	",1|A-CED|G,1,2.28E+03,2.54E+03,2,2.54E+03,2.63E+03,3,2.63E+03,2.72E+03,4,2.72E+03,2.86E+03
(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Winter-2014-2015,SBAC-IAB-FIXED-G11M-AlgLinearFun,MATH,11,interim,IAB,MTH IAB G11 AlgebraAndLinearFunctions,8016,2015,200-30309,200,30309,item-200-30309.xml,7992,MC,11,SBAC-MA-v6:4|F|NA|E,4,E,,Y,BRF,ENU-Braille,3,ENU,Yes,1,1,Arabic;Cantonese;Korean;Mandarin;Punjabi;Russian;Spanish;Tagal/Tagalog;Vietnamese,Automatic with Key,Y,FALSE,TRUE,TRUE,TRUE,4,IRT3PLn,1,1,0.30647,4.09345,0,,,4.09345,(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Calc-MATH-11-Winter-2014-2015,,SBAC-4|F,,SBAC-4|F|NA|E,,,,4|F-BF|E,"F-BF.1a	",1|F-BF|N,1,2.28E+03,2.54E+03,2,2.54E+03,2.63E+03,3,2.63E+03,2.72E+03,4,2.72E+03,2.86E+03
(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Winter-2014-2015,SBAC-IAB-FIXED-G11M-AlgLinearFun,MATH,11,interim,IAB,MTH IAB G11 AlgebraAndLinearFunctions,8016,2015,200-31336,200,31336,item-200-31336.xml,7992,MI,11,SBAC-MA-v6:1|P|TS06|N,1,N,,Y,BRF,ENU-Braille,2,ENU,Yes,None,1,Arabic;Cantonese;Korean;Mandarin;Punjabi;Russian;Spanish;Tagal/Tagalog;Vietnamese,Automatic with Machine Rubric,Y,FALSE,TRUE,TRUE,TRUE,11,IRT3PLn,1,1,0.27157,2.68704,0,,,2.68704,(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Calc-MATH-11-Winter-2014-2015,,SBAC-1|P,,SBAC-1|P|TS06|N,,,"F-BF.2	",1|F-BF|N,,,1,2.28E+03,2.54E+03,2,2.54E+03,2.63E+03,3,2.63E+03,2.72E+03,4,2.72E+03,2.86E+03
(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Winter-2014-2015,SBAC-IAB-FIXED-G11M-AlgLinearFun,MATH,11,interim,IAB,MTH IAB G11 AlgebraAndLinearFunctions,8016,2015,200-32678,200,32678,item-200-32678.xml,7992,MC,11,SBAC-MA-v6:3|A|NA|E,3,E,,Y,BRF,ENU-Braille,3,ENU,Yes,3,1,,Automatic with Key,Y,FALSE,TRUE,TRUE,TRUE,8,IRT3PLn,1,1,0.34044,2.07126,0,,,2.07126,(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Calc-MATH-11-Winter-2014-2015,,SBAC-3|A,,SBAC-3|A|NA|E,,,,3|A-SSE|E,"A-SSE.2	",1|A-SSE|D,1,2.28E+03,2.54E+03,2,2.54E+03,2.63E+03,3,2.63E+03,2.72E+03,4,2.72E+03,2.86E+03
(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Winter-2014-2015,SBAC-IAB-FIXED-G11M-AlgLinearFun,MATH,11,interim,IAB,MTH IAB G11 AlgebraAndLinearFunctions,8016,2015,200-33727,200,33727,item-200-33727.xml,7992,MC,11,SBAC-MA-v6:1|P|TS04|J,1,J,,Y,PRN,ENU-Braille,2,ENU,Yes,None,1,Arabic;Cantonese;Korean;Mandarin;Punjabi;Russian;Spanish;Tagal/Tagalog;Vietnamese,Automatic with Key,Y,FALSE,TRUE,TRUE,TRUE,2,IRT3PLn,1,1,0.38809,-0.87142,0,,,-0.87142,(SBAC)SBAC-IAB-FIXED-G11M-AlgLinearFun-Calc-MATH-11-Winter-2014-2015,,SBAC-1|P,,SBAC-1|P|TS04|J,,,"A-REI.10	",1|A-REI|J,,,1,2.28E+03,2.54E+03,2,2.54E+03,2.63E+03,3,2.63E+03,2.72E+03,4,2.72E+03,2.86E+03
