AssessmentId,AssessmentName,AssessmentSubject,AssessmentGrade,AssessmentType,AssessmentSubtype,AssessmentLabel,AssessmentVersion,AcademicYear,FullItemKey,BankKey,ItemId,Filename,Version,ItemType,Grade,Standard,Claim,Target,PassageId,ASL,Braille,LanguageBraille,DOK,Language,AllowCalculator,MathematicalPractice,MaxPoints,Glossary,ScoringEngine,Spanish,IsFieldTest,IsActive,ResponseRequired,AdminRequired,ItemPosition,MeasurementModel,Weight,ScorePoints,a,b0_b,b1_c,b2,b3,avg_b,bpref1,bpref2,bpref3,bpref4,bpref5,bpref6,bpref7,CommonCore,ClaimContentTarget,SecondaryCommonCore,SecondaryClaimContentTarget,PtWritingType,AnswerKey,NumberOfAnswerOptions,CutPoint1,ScaledLow1,ScaledHigh1,CutPoint2,ScaledLow2,ScaledHigh2,CutPoint3,ScaledLow3,ScaledHigh3,CutPoint4,ScaledLow4,ScaledHigh4,CutPoint5,ScaledLow5,ScaledHigh5,CutPoint6,ScaledLow6,ScaledHigh6
(SBAC)SBAC-IAB-FIXED-G11NewSubject-BriefWrites-NewSubject-11-Winter-2017-2018,SBAC-IAB-FIXED-G11NewSubject-BriefWrites-NewSubject-11,newsubject,11,interim,IAB,High School NewSubject - Brief Writes (IAB),12094,2018,200-33218,200,33218,item-200-33218.xml,12327,SA,11,SBAC-NewSubject-v1:2-W|3-11,CLAIM_2,1-Apr,,,BRF,ENU-Braille,3,ENU,,,2,,HandScored,,FALSE,TRUE,TRUE,TRUE,3,IRTGPC,1,2,0.62844,-0.38994,2.66386,,,1.13696,(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-NewSubject-11-Winter-2017-2018,,SBAC-2-W|3-11,,,,,"11-12.W.2f	;11-12.W.2f	",CLAIM_2|4-1,"11-12.W.2f	",,,Hand,0,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,,,,,,
(SBAC)SBAC-IAB-FIXED-G11NewSubject-BriefWrites-NewSubject-11-Winter-2017-2018,SBAC-IAB-FIXED-G11NewSubject-BriefWrites-NewSubject-11,newsubject,11,interim,IAB,High School NewSubject - Brief Writes (IAB),12094,2018,200-33230,200,33230,item-200-33230.xml,12327,SA,11,SBAC-NewSubject-v1:2-W|6-11,CLAIM_2,1-Apr,,,BRF,ENU-Braille,3,ENU,,,2,,HandScored,,FALSE,TRUE,TRUE,TRUE,5,IRTGPC,1,2,0.45025,-0.11611,4.53729,,,2.21059,(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-NewSubject-11-Winter-2017-2018,,SBAC-2-W|6-11,,,,,,CLAIM_2|4-1,,,,Hand,0,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,,,,,,
(SBAC)SBAC-IAB-FIXED-G11NewSubject-BriefWrites-NewSubject-11-Winter-2017-2018,SBAC-IAB-FIXED-G11NewSubject-BriefWrites-NewSubject-11,newsubject,11,interim,IAB,High School NewSubject - Brief Writes (IAB),12094,2018,200-34008,200,34008,item-200-34008.xml,12327,SA,11,SBAC-NewSubject-v1:2-W|6-11,CLAIM_2,1-Apr,,,BRF,ENU-Braille,3,ENU,,,2,,HandScored,,FALSE,TRUE,TRUE,TRUE,6,IRTGPC,1,2,0.46519,1.38903,4.10661,,,2.74782,(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-NewSubject-11-Winter-2017-2018,,SBAC-2-W|6-11,,,,,,CLAIM_2|4-1,,,,Hand,0,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,,,,,,
(SBAC)SBAC-IAB-FIXED-G11NewSubject-BriefWrites-NewSubject-11-Winter-2017-2018,SBAC-IAB-FIXED-G11NewSubject-BriefWrites-NewSubject-11,newsubject,11,interim,IAB,High School NewSubject - Brief Writes (IAB),12094,2018,200-58197,200,58197,item-200-58197.xml,12327,SA,11,SBAC-NewSubject-v1:2-W|1-11,CLAIM_2,1-Apr,,N,BRF,ENU-Braille,3,ENU,,,2,,HandScored,N,FALSE,TRUE,TRUE,TRUE,1,IRTGPC,1,2,0.55434,0.93104,0.43826,,,0.68465,(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-NewSubject-11-Winter-2017-2018,,SBAC-2-W|1-11,,,,,,CLAIM_2|4-1,,,,Hand,0,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,,,,,,
(SBAC)SBAC-IAB-FIXED-G11NewSubject-BriefWrites-NewSubject-11-Winter-2017-2018,SBAC-IAB-FIXED-G11NewSubject-BriefWrites-NewSubject-11,newsubject,11,interim,IAB,High School NewSubject - Brief Writes (IAB),12094,2018,200-58558,200,58558,item-200-58558.xml,12327,SA,11,SBAC-NewSubject-v1:2-W|3-11,CLAIM_2,1-Apr,,,BRF,ENU-Braille,3,ENU,,,2,,HandScored,N,FALSE,TRUE,TRUE,TRUE,4,IRTGPC,1,2,0.50679,0.15445,3.27803,,,1.71624,(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-NewSubject-11-Winter-2017-2018,,SBAC-2-W|3-11,,,,,,CLAIM_2|4-1,,,,Hand,0,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,,,,,,
(SBAC)SBAC-IAB-FIXED-G11NewSubject-BriefWrites-NewSubject-11-Winter-2017-2018,SBAC-IAB-FIXED-G11NewSubject-BriefWrites-NewSubject-11,newsubject,11,interim,IAB,High School NewSubject - Brief Writes (IAB),12094,2018,200-59189,200,59189,item-200-59189.xml,12327,SA,11,SBAC-NewSubject-v1:2-W|1-11,CLAIM_2,1-Apr,,N,BRF,ENU-Braille,3,ENU,,,2,,HandScored,N,FALSE,TRUE,TRUE,TRUE,2,IRTGPC,1,2,0.51807,0.66337,3.26407,,,1.96372,(SBAC)SBAC-IAB-FIXED-G11E-BriefWrites-NewSubject-11-Winter-2017-2018,,SBAC-2-W|1-11,,,,,,CLAIM_2|4-1,,,,Hand,0,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,,,,,,
(SBAC)SBAC-IAB-FIXED-G11NewSubject-Editing-NewSubject-11-Winter-2017-2018,SBAC-IAB-FIXED-G11NewSubject-Editing-NewSubject-11,newsubject,11,interim,IAB,High School NewSubject - Editing (IAB),12094,2018,200-19965,200,19965,item-200-19965.xml,12327,MC,11,SBAC-NewSubject-v1:2-W|9-11,CLAIM_2,1-Apr,,,BRF,ENU-Braille,1,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,10,IRT3PLn,1,1,0.2582,1.01962,0,,,1.01962,(SBAC)SBAC-IAB-FIXED-G11E-Editing-NewSubject-11-Winter-2017-2018,,SBAC-2-W|9-11,,,,,"11-12.L.1a	;11-12.L.1a	",CLAIM_2|4-1,"11-12.L.1a	",,,C,4,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,,,,,,
(SBAC)SBAC-IAB-FIXED-G11NewSubject-Editing-NewSubject-11-Winter-2017-2018,SBAC-IAB-FIXED-G11NewSubject-Editing-NewSubject-11,newsubject,11,interim,IAB,High School NewSubject - Editing (IAB),12094,2018,200-20125,200,20125,item-200-20125.xml,12327,HTQ,11,SBAC-NewSubject-v1:2-W|9-11,CLAIM_2,1-Apr,,,BRF,ENU-Braille,1,ENU,,,1,,Automatic with Machine Rubric,,FALSE,TRUE,TRUE,TRUE,7,IRT3PLn,1,1,0.25592,4.22195,0,,,4.22195,(SBAC)SBAC-IAB-FIXED-G11E-Editing-NewSubject-11-Winter-2017-2018,,SBAC-2-W|9-11,,,,,"11-12.L.1a	;11-12.L.1a	",CLAIM_2|4-1,"11-12.L.1a	",,,qrx,0,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,,,,,,
(SBAC)SBAC-IAB-FIXED-G11NewSubject-Editing-NewSubject-11-Winter-2017-2018,SBAC-IAB-FIXED-G11NewSubject-Editing-NewSubject-11,newsubject,11,interim,IAB,High School NewSubject - Editing (IAB),12094,2018,200-21821,200,21821,item-200-21821.xml,12327,MC,11,SBAC-NewSubject-v1:2-W|9-11,CLAIM_2,1-Apr,,,BRF,ENU-Braille,1,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,1,IRT3PLn,1,1,0.33493,-0.44963,0,,,-0.44963,(SBAC)SBAC-IAB-FIXED-G11E-Editing-NewSubject-11-Winter-2017-2018,,SBAC-2-W|9-11,,,,,"11-12.L.2b	;11-12.L.2b	",CLAIM_2|4-1,"11-12.L.2b	",,,C,4,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,,,,,,
(SBAC)SBAC-IAB-FIXED-G11NewSubject-Editing-NewSubject-11-Winter-2017-2018,SBAC-IAB-FIXED-G11NewSubject-Editing-NewSubject-11,newsubject,11,interim,IAB,High School NewSubject - Editing (IAB),12094,2018,200-21825,200,21825,item-200-21825.xml,12327,MC,11,SBAC-NewSubject-v1:2-W|9-11,CLAIM_2,1-Apr,,,BRF,ENU-Braille,1,ENU,,,1,,Automatic with Key,,FALSE,TRUE,TRUE,TRUE,5,IRT3PLn,1,1,0.39557,0.24302,0,,,0.24302,(SBAC)SBAC-IAB-FIXED-G11E-Editing-NewSubject-11-Winter-2017-2018,,SBAC-2-W|9-11,,,,,"11-12.L.2a	;11-12.L.2a	",CLAIM_2|4-1,"11-12.L.2a	",,,B,4,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,,,,,,
(SBAC)SBAC-IAB-FIXED-G11NewSubject-Editing-NewSubject-11-Winter-2017-2018,SBAC-IAB-FIXED-G11NewSubject-Editing-NewSubject-11,newsubject,11,interim,IAB,High School NewSubject - Editing (IAB),12094,2018,200-30524,200,30524,item-200-30524.xml,12327,HTQ,11,SBAC-NewSubject-v1:2-W|9-11,CLAIM_2,1-Apr,,,BRF,ENU-Braille,1,ENU,,,1,,Automatic with Machine Rubric,,FALSE,TRUE,TRUE,TRUE,2,IRT3PLn,1,1,0.64282,0.21756,0,,,0.21756,(SBAC)SBAC-IAB-FIXED-G11E-Editing-NewSubject-11-Winter-2017-2018,,SBAC-2-W|9-11,,,,,"11-12.L.2b	;11-12.L.2b	",CLAIM_2|4-1,"11-12.L.2b	",,,qrx,0,1,2300,2490,2,2490,2580,3,2580,2680,4,2680,2800,,,,,,
